FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
351.9,B,7,OW,,,,,
351.9,B,13,BO,0,,,,
351.9,B,14,BI,0,,,,
351.9,B,14,OW,,,,,
351.9,B,14,B-,5,5,2,,
351.9,B,16,B+,5,5,1,,
351.9,B,14,BO,0,,,,
351.9,B,16,BI,0,,,,
351.9,B,16,AB,5,5,,,
379.5,B,6,AE,11,11,,,
379.5,B,6,OW,,,,,
388.1,B,15,AE,2,2,,,
388.1,B,15,OW,,,,,
388.1,B,15,B-,2,2,1,,
388.1,B,18,B+,2,2,1,,
388.1,B,15,BO,0,,,,
388.1,B,18,BI,0,,,,
388.1,B,18,OW,,,,,
388.1,B,18,B-,2,2,1,,
388.1,B,19,B+,2,2,1,,
389.5,B,18,BO,0,,,,
389.5,B,19,BI,0,,,,
395.2,B,19,OW,,,,,
395.2,B,20,EE,1,,,,
395.2,B,20,KE,1,,,,
395.2,B,19,B-,2,2,1,,
395.2,B,20,G+,1,2,2,1,
395.2,B,20,LL,1,2,,,
395.2,B,19,BO,0,,,,
395.2,B,20,BI,0,,,,
395.2,B,20,KL,1,,,,
395.9,B,11,AE,3,3,,,
395.9,B,11,OW,,,,,
395.9,B,11,B-,3,3,1,,
395.9,B,12,B+,3,3,3,,
395.9,B,11,BO,0,,,,
395.9,B,12,BI,0,,,,
395.9,B,12,OW,,,,,
395.9,B,12,B-,3,3,1,,
395.9,B,13,B+,3,3,1,,
395.9,B,8,OW,,,,,
395.9,B,8,B-,9,9,3,,
395.9,B,11,B+,9,9,1,,
395.9,B,8,BO,0,,,,
395.9,B,11,BI,0,,,,
395.9,B,11,AB,9,9,,,
395.9,B,7,B-,10,10,1,,
395.9,B,8,B+,10,10,1,,
395.9,B,7,BO,0,,,,
395.9,B,8,BI,0,,,,
395.9,B,6,B-,11,11,1,,
395.9,B,7,B+,11,11,1,,
395.9,B,5,B-,12,12,1,,
395.9,B,6,B+,12,12,1,,
395.9,B,4,B-,14,14,1,,
395.9,B,5,B+,14,14,1,,
395.9,B,5,BO,0,,,,
395.9,B,6,BI,0,,,,
395.9,B,6,AB,12,12,,,
397.3,B,12,BO,0,,,,
397.3,B,13,BI,0,,,,
397.3,B,6,BO,0,,,,
397.3,B,7,BI,0,,,,
397.3,B,4,BO,0,,,,
397.3,B,5,BI,0,,,,
398.1,B,5,OW,,,,,
402.9,B,13,OW,,,,,
402.9,B,13,B-,3,3,1,,
402.9,B,14,B+,3,3,1,,
402.9,B,7,OW,,,,,
402.9,B,13,BO,0,,,,
402.9,B,14,BI,0,,,,
402.9,B,14,OW,,,,,
402.9,B,14,B-,3,3,1,,
402.9,B,15,B+,3,3,1,,
402.9,B,14,BO,0,,,,
402.9,B,15,BI,0,,,,
402.9,B,15,AB,3,3,,,
430.5,B,6,AE,12,12,,,
430.5,B,6,OW,,,,,
470.8,B,17,AE,4,4,,,
470.8,B,17,OW,,,,,
470.8,B,17,B-,4,4,1,,
470.8,B,18,B+,4,4,3,,
470.8,B,17,BO,0,,,,
470.8,B,18,BI,0,,,,
470.8,B,18,OW,,,,,
470.8,B,18,B-,4,4,1,,
470.8,B,19,B+,4,4,1,,
472.2,B,18,BO,0,,,,
472.2,B,19,BI,0,,,,
476.7,B,11,AE,9,9,,,
476.7,B,11,OW,,,,,
476.7,B,11,B-,9,9,1,,
476.7,B,12,B+,9,9,3,,
476.7,B,11,BO,0,,,,
476.7,B,12,BI,0,,,,
476.7,B,12,OW,,,,,
476.7,B,12,B-,9,9,1,,
476.7,B,13,B+,9,9,1,,
476.7,B,8,OW,,,,,
476.7,B,8,B-,10,10,3,,
476.7,B,11,B+,10,10,1,,
476.7,B,8,BO,0,,,,
476.7,B,11,BI,0,,,,
476.7,B,11,AB,10,10,,,
476.7,B,7,B-,11,11,1,,
476.7,B,8,B+,11,11,1,,
476.7,B,7,BO,0,,,,
476.7,B,8,BI,0,,,,
476.7,B,6,B-,12,12,1,,
476.7,B,7,B+,12,12,1,,
476.7,B,5,B-,13,13,1,,
476.7,B,6,B+,13,13,1,,
476.7,B,5,BO,0,,,,
476.7,B,6,BI,0,,,,
476.7,B,6,AB,13,13,,,
477.9,B,19,OW,,,,,
477.9,B,20,EE,1,,,,
477.9,B,20,KE,1,,,,
477.9,B,19,B-,4,4,1,,
477.9,B,20,G+,1,4,4,1,
477.9,B,20,LL,1,4,,,
477.9,B,19,BO,0,,,,
477.9,B,20,BI,0,,,,
477.9,B,20,KL,1,,,,
478.1,B,12,BO,0,,,,
478.1,B,13,BI,0,,,,
478.1,B,6,BO,0,,,,
478.1,B,7,BI,0,,,,
481.6,B,5,OW,,,,,
483.7,B,13,OW,,,,,
483.7,B,13,B-,9,9,1,,
483.7,B,14,B+,9,9,1,,
483.7,B,7,OW,,,,,
483.7,B,13,BO,0,,,,
483.7,B,14,BI,0,,,,
483.7,B,14,OW,,,,,
483.7,B,14,B-,9,9,3,,
483.7,B,17,B+,9,9,1,,
483.7,B,14,BO,0,,,,
483.7,B,17,BI,0,,,,
483.7,B,17,AB,9,9,,,
498.7,B,16,AE,5,5,,,
498.7,B,16,OW,,,,,
498.7,B,16,B-,5,5,1,,
498.7,B,18,B+,5,5,2,,
498.7,B,16,BO,0,,,,
498.7,B,18,BI,0,,,,
498.7,B,18,OW,,,,,
498.7,B,18,B-,5,5,1,,
498.7,B,19,B+,5,5,1,,
500.1,B,18,BO,0,,,,
500.1,B,19,BI,0,,,,
505.7,B,19,OW,,,,,
505.7,B,20,EE,1,,,,
505.7,B,20,KE,1,,,,
505.7,B,19,B-,5,5,1,,
505.7,B,20,G+,1,5,5,1,
505.7,B,20,LL,1,5,,,
505.7,B,19,BO,0,,,,
505.7,B,20,BI,0,,,,
505.7,B,20,KL,1,,,,
511.2,B,6,AE,13,13,,,
511.2,B,6,OW,,,,,
513.8,B,9,AE,6,6,,,
513.8,B,9,OW,,,,,
513.8,B,9,B-,6,6,1,,
513.8,B,12,B+,6,6,1,,
513.8,B,9,BO,0,,,,
513.8,B,12,BI,0,,,,
513.8,B,12,OW,,,,,
